student_id,name,gender,age,grade_level,math_score,reading_score,writing_score,attendance_rate,parent_education,study_hours,internet_access,lunch_type,extra_activities,final_result
S1,Student_1,Other,17,10,74,61,90,94.6600021444525,Master's,4.12019234816017,Yes,Free or reduced,Yes,Fail
S2,Student_2,Male,17,12,,70,91,93.1732270987953,Bachelor's,2.88650546078105,No,Free or reduced,No,Pass
S3,Student_3,Other,17,9,59,,99,98.6310982861896,PhD,1.90992641477416,No,Free or reduced,No,Fail
S4,Student_4,Other,17,12,70,88,,96.4196203459828,PhD,1.664739998439,No,Standard,No,Pass
S5,Student_5,Male,15,9,85,77,94,91.3321051781093,PhD,2.33091790604152,Yes,Free or reduced,No,Pass
S6,Student_6,Male,17,11,61,54,89,93.1406099646821,Master's,12,No,Free or reduced,Yes,Fail
S7,Student_7,Other,16,9,76,66,88,97.9677293316807,Bachelor's,2.3721068503601,Yes,Free or reduced,No,Pass
S8,Student_8,Female,16,11,89,69,98,87.9903756917387,PhD,4.95249630381854,No,Standard,Yes,Pass
S9,Student_9,Other,17,12,51,90,72,86.5358941171555,High School,2.94092182306142,No,Standard,No,Pass
S10,Student_10,Other,17,11,62,95,96,80.2162216727039,Bachelor's,1.7166556731606,Yes,Standard,Yes,Fail
S11,Student_11,Other,16,12,81,61,81,96.5310214838293,High School,4.56456036717404,Yes,Free or reduced,Yes,Pass
S12,Student_12,Other,16,10,80,55,96,96.0196140080673,High School,2.84142149253931,No,Free or reduced,Yes,Pass
S13,Student_13,Male,15,10,65,66,82,82.089090362003,PhD,3.8386853740181,No,Free or reduced,Yes,Pass
S14,Student_14,Other,16,10,81,68,95,91.537147622654,PhD,4.93484633283661,Yes,Standard,Yes,Fail
S15,Student_15,Female,16,11,81,75,54,89.2796339633378,Master's,1.2007014012799,No,Free or reduced,No,Fail
S16,Student_16,Male,17,10,83,97,92,82.3741819101822,Master's,1.38677823915027,Yes,Standard,Yes,Fail
S17,Student_17,Female,16,9,60,93,97,99.6113645412145,Master's,3.88182696585102,Yes,Standard,No,Fail
S18,Student_18,Female,15,12,59,93,83,84.2939177492671,Bachelor's,2.12730001318189,No,Standard,Yes,Fail
S19,Student_19,Female,16,12,64,81,89,81.3446836018112,Master's,1.7372055878004,Yes,Standard,Yes,Pass
S20,Student_20,Female,17,9,66,55,60,91.8969475900382,High School,1.15744751927892,Yes,Standard,No,Fail
S21,Student_21,Male,17,11,89,85,99,94.7773335426607,Master's,1.08738684794481,Yes,Free or reduced,Yes,Fail
S22,Student_22,Male,16,11,67,87,52,80.6488689209438,PhD,4.09794241247916,No,Free or reduced,Yes,Pass
S23,Student_23,Female,17,12,58,60,82,93.1743527745404,Master's,1.5377337094782,Yes,Standard,Yes,Fail
S24,Student_24,Female,15,10,74,82,60,90.6458375190291,Bachelor's,2.8708824638846,No,Free or reduced,Yes,Pass
S25,Student_25,Male,15,11,89,73,65,82.065300177501,Bachelor's,3.42358726071793,No,Free or reduced,No,Fail
S26,Student_26,Male,16,11,63,72,67,83.4504775389273,High School,2.71340720227538,No,Standard,Yes,Pass
S27,Student_27,Male,16,9,74,64,79,91.3594859463216,Bachelor's,1.10842660934493,Yes,Standard,Yes,Pass
S28,Student_28,Other,16,9,99,76,97,85.9271522702658,Master's,4.13400601035164,Yes,Free or reduced,No,Fail
S29,Student_29,Other,17,10,71,60,59,98.7663145730263,PhD,1.04205289816661,No,Free or reduced,No,Fail
S30,Student_30,Other,15,11,79,99,67,96.374804589681,Bachelor's,4.04755957750994,No,Free or reduced,Yes,Pass
S31,Student_31,Female,15,11,69,66,87,99.6713441302733,High School,4.57321797515249,Yes,Free or reduced,Yes,Pass
S32,Student_32,Other,17,9,70,63,68,85.1934167790083,Master's,2.73135968422869,No,Standard,No,Pass
S33,Student_33,Female,15,11,93,76,85,99.3944726559595,High School,3.14216989239119,No,Free or reduced,Yes,Pass
S34,Student_34,Female,16,12,81,67,,88.6246773958312,Bachelor's,2.90793357047061,Yes,Standard,No,Pass
S35,Student_35,Other,16,9,95,,95,86.9503759062751,Bachelor's,2.55683447449376,No,Standard,Yes,Pass
S36,Student_36,Female,16,10,,96,52,81.0069905393871,High School,4.54969814148144,Yes,Free or reduced,No,Pass
S37,Student_37,Other,15,9,70,96,59,81.0553051571921,Master's,4.57573404267996,Yes,Free or reduced,No,Fail
S38,Student_38,Other,16,11,84,53,87,93.8402251189331,Bachelor's,2.34326545856614,No,Free or reduced,No,Pass
S39,Student_39,Male,17,10,81,56,50,89.1585798886806,PhD,3.46027901605879,Yes,Standard,Yes,Fail
S40,Student_40,Other,17,9,79,94,76,84.5304325207221,Bachelor's,4.70763024858346,Yes,Standard,Yes,Fail
S41,Student_41,Male,15,12,88,84,95,92.2794061265047,Master's,4.84823399576541,Yes,Standard,Yes,Pass
S42,Student_42,Other,17,12,98,97,57,85.0571623650022,Bachelor's,3.03583616168819,No,Standard,Yes,Pass
S43,Student_43,Other,17,9,61,58,95,91.5526350868885,High School,2.81129922113731,No,Free or reduced,No,Fail
S44,Student_44,Male,15,12,90,57,91,87.1841749396538,Bachelor's,2.1147772637141,No,Standard,No,Pass
S45,Student_45,Male,16,12,96,94,66,96.4710445322364,Bachelor's,4.83548749276164,Yes,Standard,No,Pass
S46,Student_46,Other,16,12,67,66,58,96.4139232153356,Master's,1.57125721789147,Yes,Free or reduced,Yes,Fail
S47,Student_47,Female,16,10,70,66,55,89.547007962448,High School,3.3193183041909,No,Standard,Yes,Fail
S48,Student_48,Male,15,12,62,98,92,87.0163821867003,Master's,2.13020107007456,No,Standard,Yes,Fail
S49,Student_49,Female,17,12,70,82,74,87.2511959311819,Bachelor's,2.11603316139119,Yes,Free or reduced,No,Pass
S50,Student_50,Female,16,12,57,81,88,96.1142905133644,PhD,2.61987434950475,No,Standard,Yes,Pass
S51,Student_51,Female,16,10,95,57,98,86.5635896559522,Bachelor's,4.99517174326262,No,Standard,Yes,Fail
S52,Student_52,Male,15,9,89,68,77,84.1811874741369,Master's,1.21986522735929,No,Standard,No,Pass
S53,Student_53,Female,16,11,95,87,82,81.6937668375061,PhD,3.31416727281413,No,Standard,No,Fail
S54,Student_54,Male,15,12,56,52,86,89.3338624176882,Master's,1.33028863214111,No,Free or reduced,Yes,Pass
S55,Student_55,Female,17,9,72,54,58,89.6426419783968,Master's,1.61808331996208,Yes,Standard,No,Fail
S56,Student_56,Other,15,12,93,62,67,96.8181742080581,High School,2.75825176709159,No,Free or reduced,Yes,Pass
S57,Student_57,Other,15,10,81,96,70,84.4247739289213,PhD,3.04184052538577,No,Standard,No,Fail
S58,Student_58,Male,15,9,60,95,51,87.619825473368,Bachelor's,2.0351696334581,Yes,Free or reduced,No,Pass
S59,Student_59,Other,15,10,71,80,92,96.1681147778738,Master's,2.26582852349766,Yes,Free or reduced,No,Pass
S60,Student_60,Other,17,12,71,65,87,96.4724722149795,Bachelor's,15,Yes,Free or reduced,Yes,Fail
S61,Student_61,Female,17,12,92,99,89,87.6922215195754,High School,2.212879135377,Yes,Standard,Yes,Pass
S62,Student_62,Male,16,10,74,81,85,89.1824804657336,High School,4.86623375752218,No,Standard,Yes,Pass
S63,Student_63,Female,17,11,71,71,99,86.0657178169857,PhD,4.77882952668993,No,Standard,No,Fail
S64,Student_64,Female,17,10,77,78,92,98.6510975683862,High School,2.33951316054794,No,Free or reduced,No,Pass
S65,Student_65,Female,16,12,78,71,86,82.3728753148316,High School,3.28341574511505,No,Standard,No,Pass
S66,Student_66,Female,17,10,62,92,64,98.6749884600294,Bachelor's,4.63838156444378,Yes,Standard,No,Pass
S67,Student_67,Female,15,11,67,52,77,93.6773290367069,High School,1.02473529056359,Yes,Standard,Yes,Fail
S68,Student_68,Female,15,10,51,59,67,90.6314430537346,High School,4.24273428135037,No,Standard,Yes,Fail
S69,Student_69,Female,16,11,78,91,83,80.6531812156899,Master's,4.79347821115568,No,Free or reduced,Yes,Fail
S70,Student_70,Male,16,11,70,70,71,89.5119238364402,High School,1.36530293733423,No,Free or reduced,No,Fail
S71,Student_71,Other,16,10,64,65,60,88.1549621000547,Master's,1.64579074413168,No,Standard,No,Fail
S72,Student_72,Female,15,10,76,61,62,83.2243762395025,High School,4.84298521108542,Yes,Standard,Yes,Pass
S73,Student_73,Female,17,9,99,51,53,93.1281920700132,High School,3.15016057456139,No,Standard,No,Pass
S74,Student_74,Female,15,12,80,90,71,99.4230181473657,PhD,1.05678653788689,Yes,Free or reduced,Yes,Fail
S75,Student_75,Female,16,11,64,73,56,91.2437762212905,PhD,2.03052799505412,Yes,Standard,No,Pass
S76,Student_76,Female,17,9,72,84,92,94.2950655288789,Master's,2.79977469707544,Yes,Free or reduced,No,Pass
S77,Student_77,Female,17,10,73,79,73,81.3690090513203,High School,3.77163564409907,Yes,Free or reduced,Yes,Pass
S78,Student_78,Other,15,12,93,79,53,88.3533399163399,Bachelor's,3.9326415125472,No,Standard,Yes,Pass
S79,Student_79,Other,16,9,62,96,77,82.3271697032899,PhD,4.98168605170183,No,Standard,No,Fail
S80,Student_80,Female,15,11,71,84,64,92.2559167107302,Bachelor's,2.15004479753504,No,Standard,Yes,Fail
S81,Student_81,Other,17,9,92,68,50,98.7696431642831,PhD,3.1528804074739,No,Free or reduced,Yes,Pass
S82,Student_82,Male,15,11,86,99,52,93.2355546494328,PhD,3.13329419143842,Yes,Free or reduced,No,Pass
S83,Student_83,Female,15,10,82,57,63,81.5360609662884,High School,2.62258103778895,Yes,Standard,No,Fail
S84,Student_84,Male,16,12,,75,87,87.0933240997017,PhD,1.67664757536968,Yes,Free or reduced,No,Pass
S85,Student_85,Male,16,12,68,,99,91.013267588817,Bachelor's,4.90982625273537,No,Standard,Yes,Pass
S86,Student_86,Female,17,12,72,89,,88.064155122665,PhD,4.41326874666634,Yes,Standard,No,Pass
S87,Student_87,Other,15,10,78,56,87,96.6728802095035,Master's,2.99333211317695,Yes,Free or reduced,No,Fail
S88,Student_88,Male,15,11,79,79,87,96.2934200941998,High School,3.41298169073612,Yes,Free or reduced,No,Fail
S89,Student_89,Female,15,10,88,56,70,92.2366204020644,High School,1.90904421423865,Yes,Free or reduced,No,Pass
S90,Student_90,Male,17,12,93,52,97,87.4691589026541,Master's,3.17514828156699,No,Free or reduced,No,Pass
S91,Student_91,Male,17,10,96,50,78,85.1067274752649,Master's,3.7798805324859,Yes,Standard,Yes,Pass
S92,Student_92,Male,16,10,74,85,54,82.1174863642626,Master's,3.06066811354636,Yes,Standard,No,Pass
S93,Student_93,Male,16,10,86,74,98,87.0979536697311,PhD,4.96114068233977,No,Standard,No,Pass
S94,Student_94,Other,16,11,96,86,59,88.2634503441544,High School,3.4453666249909,No,Free or reduced,Yes,Pass
S95,Student_95,Male,15,9,57,50,77,93.5164585020815,Master's,2.48389485036868,No,Standard,No,Fail
S96,Student_96,Male,15,9,91,64,70,93.1631964859515,PhD,4.08860811046335,Yes,Free or reduced,No,Fail
S97,Student_97,Male,16,10,65,86,99,81.4021627928251,Master's,1.68185004632657,Yes,Free or reduced,Yes,Pass
S98,Student_98,Other,15,9,57,62,56,87.9051863086232,Bachelor's,2.53806325482507,Yes,Free or reduced,No,Fail
S99,Student_99,Male,16,9,50,89,52,83.6355773443473,Bachelor's,2.38783580151034,Yes,Standard,Yes,Pass
S100,Student_100,Male,17,10,93,57,94,83.1362541063361,High School,2.72722838043111,No,Free or reduced,No,Pass
S101,Student_101,Other,16,10,54,54,96,96.5460429947449,PhD,4.12711930371491,Yes,Free or reduced,Yes,Fail
S102,Student_102,Other,17,12,52,58,69,80.8383043343251,Bachelor's,2.93669212865363,Yes,Free or reduced,Yes,Fail
S103,Student_103,Other,15,9,50,50,68,88.3836575180424,Bachelor's,4.17605780106385,No,Free or reduced,No,Pass
S104,Student_104,Male,16,11,53,85,84,83.3640731153304,PhD,3.30595561255946,No,Free or reduced,Yes,Pass
S105,Student_105,Other,15,10,89,84,53,97.5866043135695,Master's,2.36827773863022,No,Free or reduced,Yes,Fail
S106,Student_106,Other,17,12,84,51,54,91.1408102655007,PhD,4.23991497473389,Yes,Free or reduced,No,Fail
S107,Student_107,Male,17,11,81,89,50,84.627612727537,Master's,1.95315868221237,Yes,Free or reduced,No,Pass
S108,Student_108,Other,17,9,91,72,53,90.0485457433275,Bachelor's,1.89753191919918,Yes,Free or reduced,Yes,Pass
S109,Student_109,Male,15,12,83,58,61,94.6297271940623,Bachelor's,3.01801169621934,Yes,Free or reduced,No,Pass
S110,Student_110,Female,15,10,92,83,76,99.1623601783887,Bachelor's,2.04339698384836,Yes,Free or reduced,Yes,Fail
S111,Student_111,Other,15,11,74,95,91,84.4089200849084,High School,1.03634813980487,No,Free or reduced,Yes,Pass
S112,Student_112,Female,15,10,59,63,72,97.7236354425869,High School,3.59319010919521,No,Standard,No,Fail
S113,Student_113,Male,17,9,70,53,74,98.6860822833498,High School,3.04437528588959,Yes,Standard,No,Pass
S114,Student_114,Other,17,11,95,79,70,98.3284108906413,PhD,2.78207125797264,Yes,Free or reduced,Yes,Fail
S115,Student_115,Male,16,9,88,80,73,92.7082871372382,Bachelor's,4.86787405847326,Yes,Free or reduced,No,Fail
S116,Student_116,Female,16,9,76,87,74,92.5964130886942,Bachelor's,3.28479673585165,Yes,Free or reduced,No,Fail
S117,Student_117,Male,15,12,76,60,94,88.0642126636765,PhD,4.45372631115754,Yes,Standard,Yes,Fail
S118,Student_118,Other,17,10,51,84,95,95.0479576460758,High School,1.55780094482064,No,Standard,Yes,Pass
S119,Student_119,Other,17,11,90,57,81,90.6258803670186,PhD,3.27682585251771,No,Standard,Yes,Fail
S120,Student_120,Female,17,9,97,52,81,93.5487614245659,High School,4.47191850692361,No,Free or reduced,Yes,Fail
S121,Student_121,Male,16,9,62,63,54,88.5691580769759,Bachelor's,3.33242302911959,Yes,Free or reduced,Yes,Fail
S122,Student_122,Other,16,11,58,62,85,94.6299292808628,Master's,3.87205671250801,Yes,Free or reduced,Yes,Pass
S123,Student_123,Female,17,9,85,94,95,96.489430352091,High School,2.48817427124883,No,Free or reduced,No,Pass
S124,Student_124,Other,17,12,71,81,91,82.9287251320563,Bachelor's,1.36979806814827,No,Standard,Yes,Pass
S125,Student_125,Other,17,12,91,83,98,96.6585943114846,Bachelor's,2.83160118050829,Yes,Free or reduced,No,Pass
S126,Student_126,Male,16,12,75,94,91,90.8059306358062,Master's,2.57791756335543,No,Standard,No,Pass
S127,Student_127,Other,17,12,61,68,88,96.8933181818045,Bachelor's,4.46824072951579,No,Standard,Yes,Pass
S128,Student_128,Male,17,9,66,87,65,88.6260341268203,Bachelor's,1.97598120940989,Yes,Free or reduced,No,Fail
S129,Student_129,Other,15,11,63,65,82,87.5808097076607,High School,13,No,Standard,Yes,Fail
S130,Student_130,Female,15,11,63,51,98,98.3012146503445,High School,4.83255247921798,No,Standard,No,Fail
S131,Student_131,Other,16,11,83,89,70,85.023385350968,Master's,1.99052657228575,No,Standard,Yes,Pass
S132,Student_132,Male,17,11,69,66,58,96.8842465057229,Master's,2.39220782190928,Yes,Standard,Yes,Fail
